Topic area,Label_1,Definition
Commercial activities,Employees cultural facilities,"Number of employees (at least 12 hours a week) in the sector cultural facilities







Numbers are only available for areas with at least 5 companies.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,% Employees I: catering,"Percentage of employees who work (at least 12 hours a week) for a company registered under section code  I: catering







Numbers are only available for areas with at least 5 companies in this section.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,% Employees J: information and communication,"Percentage of employees who work (at least 12 hours a week) for a company registered under section code J: information and communication







Numbers are only available for areas with at least 5 companies in this section.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,% Employees K: financial industry,"Percentage of employees who work (at least 12 hours a week) for a company registered under section code K: financial industry







Numbers are only available for areas with at least 5 companies in this section.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,"% Employees L: trade, rental real estate","Percentage of employees who work (at least 12 hours a week) for a company registered under section code L: trade, rental real estate







Numbers are only available for areas with at least 5 companies in this section.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,% Employees M: consultancy and research,"Percentage of employees who work (at least 12 hours a week) for a company registered under section code M: consultancy and research







Numbers are only available for areas with at least 5 companies in this section.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,% Employees N: other business services,"Percentage of employees who work (at least 12 hours a week) for a company registered under section code  N: other business services







Numbers are only available for areas with at least 5 companies in this section.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,% Employees O: government,"Percentage of employees who work (at least 12 hours a week) for a company registered under section code O: government







Numbers are only available for areas with at least 5 companies in this section.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,% Employees P: education,"Percentage of employees who work (at least 12 hours a week) for a company registered under section code P: education







Numbers are only available for areas with at least 5 companies in this section.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,% Employees Q: health care and welfare,"Percentage of employees who work (at least 12 hours a week) for a company registered under section code Q: health care and welfare







Numbers are only available for areas with at least 5 companies in this section.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,"% Employees R: culture, sports and recreation","Percentage of employees who work (at least 12 hours a week) for a company registered under section code R: culture, sports and recreation.







Numbers are only available for areas with at least 5 companies in this section.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,% Employees S: other services,"Percentage of employees who work (at least 12 hours a week) for a company registered under section code S: other services







Numbers are only available for areas with at least 5 companies in this section.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,% Employees U: extraterritorial organizations,"Percentage of employees who work (at least 12 hours a week) for a company registered under section code U: extraterritorial organizations







Numbers are only available for areas with at least 5 companies in this section.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,"Starting companies  A: agriculture, forestry and fishery","Number of starting companies registered under section code A: agriculture, forestry and fishery



"
Commercial section,Starting companies B: mining,Number of starting companies registered under section code B: mining
Commercial section,Starting companies C: industry,Number of starting companies registered under section code C: industry
Commercial section,Starting companies D: power company,Number of starting companies registered under section code D: power company
Commercial activities,Employees health facilities,"Number of employees (at least 12 hours a week) in the sector health facilities







Numbers are only available for areas with at least 5 companies.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial section,Starting companies E: water extraction and waste processing,Number of starting companies registered under section code E: water extraction and waste processing
Commercial section,Starting companies F: construction industry,Number of starting companies registered under section code F: construction industry
Commercial section,Starting companies G1: wholesale,Number of starting companies registered under section code G1: wholesale
Commercial section,Starting companies G2: retail,Number of starting companies registered under section code G2: retail
Commercial section,Starting companies H: transport and logistics,Number of starting companies registered under section code H: transport and logistics
Commercial section,Starting companies I: catering,Number of starting companies registered under section code  I: catering
Commercial section,Starting companies J: information and communication,Number of starting companies registered under section code J: information and communication
Commercial section,Starting companies K: financial industry,Number of starting companies registered under section code K: financial industry
Commercial section,"Starting companies L: trade, rental real estate","Number of starting companies registered under section code L: trade, rental real estate"
Commercial section,Starting companies M: consultancy and research,Number of starting companies registered under section code M: consultancy and research
Commercial section,Starting companies N: other business services,Number of starting companies registered under section code  N: other business services
Commercial section,Starting companies O: government,Number of starting companies registered under section code O: government
Commercial section,Starting companies P: education,Number of starting companies registered under section code P: education
Commercial section,Starting companies Q: health care and welfare,Number of starting companies registered under section code Q: health care and welfare
Commercial section,"Starting companies R: culture, sports and recreation","Number of starting companies registered under section code R: culture, sports and recreation"
Commercial section,Starting companies S: other services,Number of starting companies registered under section code S: other services
Commercial section,Starting companies T: household as employer,Number of starting companies registered under section code T: household as employer of household staff and / or non-differentiated production of goods and services for personal use
Commercial section,Starting companies U: extraterritorial organizations,Number of starting companies registered under section code U: extraterritorial organizations
Commercial activities,Employees sports facilities,"Number of employees (at least 12 hours a week) in the sector sports facilities







Numbers are only available for areas with at least 5 companies.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Commercial activities,Employees welfare facilities,"Number of employees (at least 12 hours a week) in the sector welfare facilities 







Numbers are only available for areas with at least 5 companies.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
Municipality and support,Politically active (%),Percentage of the population aged 16 and over that are politically active (%)
Municipality and support,Following local political news (%),"Percentage of the population aged 18 and over that follows local politocal new (rather to very) intensely. 



 



Numbers are only available for areas with at least 50 respondents."
Municipality and support,Political influence (%),"Percentage of the population aged 18 and over that (totally) agree with the statement: 



I have influence on the actions of the district council.



 



Numbers are only available for areas with at least 50 respondents."
Municipality and support,Voting intention local elections (%),"Percentage of the population aged 18 and over that say they would surely vote if there were local elections tomorrow



 



Numbers are only available for areas with at least 50 respondents."
Municipality and support,Trust in institutions in Amsterdam (%),"The scale for trust in institutions in Amsterdam is based on 4 institutions: the mayor of Amsterdam, Amsterdam’s city alderpersons, Amsterdam’s municipal council, Amsterdam's municipal officials







The scale goes from 1 to 5. The higher the score, the higher the trust in institutions in Amsterdam.  







Numbers are only available for areas with at least 50 respondents."
Sustainability,Non insulated (%),"Percentage of homes with no insulation against thermal loss.







Numbers are only available for areas with at least 50 respondents."
Sustainability,heater / boiler (%),"Percentage of homes that are heated by a gas or wood heater and use a water heater or electric boiler.







Numbers are only available for areas with at least 50 respondents."
Municipality and support,Understands written information (%),Percentage of the population aged 18 and over that are able to understand letters and other written information of the municipality without the help of others
Municipality and support,Police performance: % satisfied,"Percentage of the population (15 years and older) satisfied with the performance of the police in the neighbourhood.







Trend break in 2021 due to change in the way of asking.



 



Numbers are only available for areas with at least 50 respondents."
Sustainability,Solar / heat pump (%),"Percentage of homes with solar panels and / or a heat pump / hot-water heat recovery system .







Numbers are only available for areas with at least 50 respondents."
Income,Mean disposable household income,"Mean disposable income per household







The disposable income is defined as the gross income minus current transfers paid (like alimony payments to an ex-partner), income insurance premiums, health insurance premiums and tax on income and wealth.



Gross income is the sum of income from labour, income from self-employment, income from property, payments from the government and other receipts (like alimony payments by an ex-partner)."
Income,Income 1st quintile,"Percentage of households with a disposable income in the 1st quintile, based on the national distribution of income







The disposable income is defined as the gross income minus current transfers paid (like alimony payments to an ex-partner), income insurance premiums, health insurance premiums and tax on income and wealth. 







Numbers only include households with an income and excludes students and inhabitants residential establishments. Numbers are only available for areas with at least 10 households in the 1st quintile. 







1st quintile (20%-group) in euros:



2010: tot 17.887



2011: tot 17.938



2012: tot 18.017



2013: tot 18.095



2014: tot 18.468



2019: tot 21.854"
Income,Income 2nd quintile,"Percentage of households with a disposable income in the 2nd quintile, based on the national distribution of income







The disposable income is defined as the gross income minus current transfers paid (like alimony payments to an ex-partner), income insurance premiums, health insurance premiums and tax on income and wealth.







Numbers only include households with an income and excludes students and inhabitants residential establishments. Numbers are only available for areas with at least 10 households in the 2nd quintile. 







2nd quintile (20%-group) in euros:



2010: 17.887 tot 25.070



2011:  17.938 tot 25.164



2012: 18.017 tot 25.201



2013: 18.095 tot 25.240



2014: 18.468 tot 25.664



2019: 21.854 tot 31.546"
Income,Income 3rd quintile,"Percentage of households with a disposable income in the 3rd quintile, based on the national distribution of income







The disposable income is defined as the gross income minus current transfers paid (like alimony payments to an ex-partner), income insurance premiums, health insurance premiums and tax on income and wealth. Numbers only include households with an income and excludes students and inhabitants residential establishments. 







Numbers are only available for areas with at least 10 households in the 3rd quintile. 







3rd quintile (20%-group) in euros:



2010: 25.070 tot 34.250



2011: 25.164 tot 34.467



2012: 25.201 tot 34.487



2013: 25.240 tot 34.552



2014: 25.664 tot 35.363



2019: 31.546 tot 44.556"
Income,Income 4th quintile,"Percentage of households with a disposable income in the 4th quintile, based on the national distribution of income







The disposable income is defined as the gross income minus current transfers paid (like alimony payments to an ex-partner), income insurance premiums, health insurance premiums and tax on income and wealth. Numbers only include households with an income and excludes students and inhabitants residential establishments. 







Numbers are only available for areas with at least 10 households in the 4th quintile. 







4th quintile (20%-group) in euros:



2010: 25.070 tot 34.250



2011: 25.164 tot 34.467



2012: 25.201 tot 34.487



2013: 25.240 tot 34.552



2014: 25.664 tot 35.363



2019: 44.556 tot 62.356"
Income,Income 5th quintile,"Percentage of households with a disposable income in the 5th quintile, based on the national distribution of income







The disposable income is defined as the gross income minus current transfers paid (like alimony payments to an ex-partner), income insurance premiums, health insurance premiums and tax on income and wealth. 







Numbers only include households with an income and excludes students and inhabitants residential establishments. Numbers are only available for areas with at least 10 households in the 5th quintile. 







5th quintile (20%-group) in euros:



2011: 51.254 of meer



2012: 51.485 of meer



2013: 52.109 of meer



2014: 53.744 of meer



2015: 54.643 of meer



2016: 56.512 of meer



2019: 62,356 of meer"
Income,Theil coefficient,"The Theilcoefficient is a measure for income inequality. 



The value is '0' when everyone has the same income (total equality). The Theilcoefficient has no fixed maximum value. If one household receives all the income (total inequality) the value is 'ln(n)'. 







Numbers are only available for areas with at least 100 households with a positive year income."
Income,Gini coefficient,"The Gini coefficient is a measure for income inequality, varying between 0 (everyone has the same income) and 1 (one household has all the income, the others have none).







Numbers are only available for areas with at least 100 households with a positive year income."
Income,Gini coefficient capital,
Income,Minimum income households (120% WSM and little capital),"Number of households that have a minimum income.







A minimum income household has an income below 120% of the legal social minimum (WSM) and capital below the maximum level for social welfare. 







Numbers are only available for areas with at least 10 households with a minimum income."
Income,Minimum income households (130% sm and little capital),
Income,% Minimum income households (120% WSM and little capital),"Percentage of households that have a minimum income







A minimum income household has an income below 120% of the legal social minimum (WSM) and capital below the maximum level for social welfare. 







Numbers are only available for areas with at least 10 households with a minimum income."
Income,% Minimum income households (130% sm and little capital),
Income,% Long-time minimum income households (120% WSM and little capital),"Percentage of households that have a minimum income during a period of at least three years







A minimum income household has an income below 120% of the legal social minimum (WSM) and capital below the maximum level for social welfare. 







Numbers are only available for areas with at least 10 households with a long-term minimum income."
Income,% Long-time minimum income (130% sm and little capital),
Income,% Low income households (120% WSM),"Percentage of households that have an income below 120% of the legal social minimum (WSM)







Numbers are only available for areas with at least 10 households with a low income."
Income,% Low income households (130% sm),
Income,% Long-time low income households (120% WSM),"Percentage of households that have an income below 120% of the legal social minimum (WSM) during a period of at least three years







Numbers are only available for areas with at least 10 households with a long term low income."
Income,% Minimum income youth (120% WSM and little capital),"Percentage of 0- to 17-year-olds that are part of a household with a minimum income







A minimum income household has an income below 120% of the legal social minimum (WSM) and capital below the maximum level for social welfare. 







Numbers are only available for areas with at least 10 households with a minimum income."
Income,% Minimum income youth (130% sm and little capital),
Income,% Minimum income 18-65 (120% WSM and little capital),"Percentage of 18 to 65-year-olds that are part of a household with a minimum income







A minimum income household has an income below 120% of the legal social minimum (WSM) and capital below the maximum level for social welfare. 







Numbers are only available for areas with at least 10 households with a minimum income."
Income,% Minimum income 18-65 (130% sm and little capital),
Income,% Minimum income 66+ (120% WSM and little capital),"Percentage of 66 -year-olds and over that are part of a household with a minimum income







A minimum income household has an income below 120% of the legal social minimum (WSM) and capital below the maximum level for social welfare. 







Numbers are only available for areas with at least 10 households with a minimum income."
Income,% Minimum income 66+ (130% sm and little capital),
Income,Minimum income youth (120% WSM and little capital),"Number of 0- to 17-year-olds that are part of a household with a minimum income







A minimum income household has an income below 120% of the legal social minimum (WSM) and capital below the maximum level for social welfare. 







Numbers are only available for areas with at least 10 households with a minimum income."
Income,Minimum income youth (130% sm and little capital),
Income,Minimum income 18-65 (120% WSM and little capital),"Number of 18 to 65-year-olds that are part of a household with a minimum income







A minimum income household has an income below 120% of the legal social minimum (WSM) and capital below the maximum level for social welfare. 







Numbers are only available for areas with at least 10 households with a minimum income."
Income,Minimum income 18-65 (130% sm and little capital),
Income,Minimum income 66+ (120% WSM and little capital),"Number of 66-year-olds and over that are part of a household with a minimum income







A minimum income household has an income below 120% of the legal social minimum (WSM) and capital below the maximum level for social welfare. 







Numbers are only available for areas with at least 10 households with a minimum income."
Income,Minimum income 66+ (130% sm and little capital),
Income,% Long-time minimum income youth (120% WSM and little capital),"Percentage of 0- to 17-year-olds that are part of a household with a minimum income during a period of at least three years







A minimum income household has an income below 120% of the legal social minimum (WSM) and capital below the maximum level for social welfare. 







Numbers are only available for areas with at least 10 households with a long term minimum income."
Income,% Long-time minimum income youth (130% sm and little capital),
Income,Social welfare,"Number of people that receive social welfare







Numbers are only available for areas with at least 10 social welfare receivers."
Income,Social welfare (%),"Percentage of the population aged 15 tot 65  that receive social welfare 







Numbers are only available for areas with at least 10 social welfare receivers."
Income,Disability benefits,"Number of people that recieve disability benefits. 







Numbers are only available for areas with at least 10 disability benefits recievers."
Income,Disability benefits (%),"Percentage of  the population aged 15 tot 65 that receive disability benefits. 







Numbers are only available for areas with at least 10 disability benefits recievers"
Income,Unemployment benefits,"Number of people that recieve unemployment benefits (WW-uitkering). 







Numbers are only available for areas with at least 10 unemployment benefits recievers"
Income,Unemployment benefits (%),"Percentage of  the population aged 15 tot 65 that receive unemployments benefits (WW-uitkering). 







Numbers are only available for areas with at least 10 unemployment benefits recievers"
Income,Debt assistance,"Number of debt assistance cases







Numbers are only available for areas with at least 10 clients."
Income,Debt assistance (%),"Percentage of the population aged 18 and over that receive debt assistance







Numbers are only available for areas with at least 10 clients."
Income,Vroeg er op af,"Number of notifications for 'Team Vroeg er op af' (=Team early action).







The team is notified of payment delays for social rent, health insurance, municipal taxes and/or energy providers.  







Numbers are only available for areas with at least 10 notifications."
Income,Vroeg er op af (%),"Percentage of the population aged 18 and over that are registered with  'Team Vroeg er op af' (=Team early action). 







The team is notified of payment delays for social rent, health insurance, municipal taxes and/or energy providers.  







Numbers are only available for areas with at least 10 notifications."
Income,Difficult to make ends meet (%),Percentage of the population aged 18 and over that has difficulty to make ends meet.
Income,% economically independent men,
Well-being and care,Life Situation Index,"The Life Situation Index scores the quality of life, based on a questionnaire about participation in 8 social domains: housing, health, possession, spare time activities, mobility, social participation, sports, vacation and social life. 



The value 100 represents the average value for Amsterdam in 2014."
Safety,Safety index: registered crime index,"The registered crime index describes the rate of crime in an area, based on police numbers. The registered crime index is composed by two indices: High Impact Crime (HIC) and High Volume Crime (HVC). A crime that affects the victim personally, such as violence, is a High Impact crime. Frequently occurring offenses, such as theft from a car, affect the victim to a lesser extent and is part of High Volume crimes. The registered crime index is the average of the HIC and HVC index. The value 100 represents the regional average (Safety Region Amsterdam-Amstelland) in the benchmark year 2021. Each district score shows how the district compares to the regional average in the benchmark year. The index is calculated at district level and is only suitable for a comparison between districts and for following the development of the district score. The higher the score, the more registered crime. The safety index has its own district classification (VM areas), whereby some districts from the standard district classification have been combined due to small population numbers. If this is the case, the same score is assigned to both districts, unless there are less than 50 respondents to the Safety Monitor in one or both districts."
Housing,Housing stock,"Housing stock: addresses registered on the key date with the purpose 'home' (wheel estates and houseboats are excluded.)







Since 2015 housing stock also includes relatively small rental homes, like student homes."
Safety,Safety index: High Volume Crime,"High Volume crimes are frequently occurring offenses that affect the victim personally to a lesser extent. The index shows the extent to which the following offenses were registered at the police: burglary from a box/garage/shed/garden house, theft from motor vehicles, theft of vehicles, other property crimes, theft/burglary at companies and institutions, shoplifting, pickpocketing, vandalism and drug trafficking. The value 100 represents the regional average (Safety Region Amsterdam-Amstelland) in the benchmark year 2021. Each district score shows how the district compares to the regional average in the benchmark year. The index is calculated at district level and is only suitable for a comparison between districts and for following the development of the district score. The higher the score, the more registered high volume crimes. The safety index has its own district classification (VM areas), whereby some districts from the standard district classification have been combined due to small population numbers. If this is the case, the same score is assigned to both districts, unless there are less than 50 respondents to the Safety Monitor in one or both districts."
Housing,Projection housing stock 20121,Projection in 2021 for the housing stock on January 1st in future years.
Housing,Housing density,Housing density: Number of homes per square kilometre land.
Safety,Safety index: High Impact Crime,"A crime that affects the victim personally, such as violence, is a High Impact crime. The index shows the extent to which the following offenses were registered with the police: sex crimes, murder/manslaughter (including attempted murder), threats, assault/public violence, street robbery, robberies and theft/home burglary. The value 100 represents the regional average (Safety Region Amsterdam-Amstelland) in the benchmark year 2021. Each district score shows how the district compares to the regional average in the benchmark year. The index is calculated at district level and is only suitable for a comparison between districts and for following the development of the district score. The higher the score, the more registered high impact crimes. The safety index has its own district classification (VM areas), whereby some districts from the standard district classification have been combined due to small population numbers. If this is the case, the same score is assigned to both districts, unless there are less than 50 respondents to the Safety Monitor in one or both districts."
Housing,Trailer space,"Number of appointed spaces for permanent placement of trailers for housing, commercial or recreational purposes."
Housing,Mooring place,"Number of appointed places for the permanent mooring of vessels for housing, commercial or recreational purposes."
Diversity,Discrimination (%),"Percentage of the population (15 years and older) that felt discriminated in the past 12 months.







Numbers are only available for areas with at least 50 respondents."
Safety,Safety index: reported victimization index,"The reported victimization index describes how much crime residents in an area have experienced. This contains reported victimization of residents aged 15 and older, regardless of the location where the victimization took place (inside or outside their own neighbourhood). A distinction is made between victimization of High Impact Crime (HIC), High Volume Crime (HVC) and digital crime. A crime that affects the victim personally, such as violence, is a High Impact crime. Frequently occurring offenses, such as theft from a car, affect the victim to a lesser extent and are part of High Volume offences. A crime that takes place digitally is part of digital victimization. The reported victimization index is the average score of the HIC, HVC, and digital victimization index. The index is based on questions from the survey Amsterdam-Amstelland Safety Monitor. The value 100 represents the regional average (Safety Region Amsterdam-Amstelland) in the benchmark year 2021. Each district score shows how the district compares to the regional average in the benchmark year. The index is calculated at district level and is only suitable for a comparison between districts and for following the development of the district score. The higher the score, the more reported victimization. The safety index has its own district classification (VM areas), whereby some districts from the standard district classification have been combined due to population numbers. If this is the case, the same index score is assigned to both districts, unless there are fewer than 50 respondents to the Safety Monitor in one or both districts."
Diversity,Tolerance of homosexuality (1-5),"The scale for homo tolerance is based om 5 statements about the rights of the LGTBI community. 







The scale goes from 1 to 5. The higher the score, the higher the acceptance of homosexuals.  







Numbers are only available for areas with at least 50 respondents."
Safety,Safety index: reported victimization of High Volume Crimes,"High Volume crimes are frequently occurring offenses that affect the victim personally to a lesser extent. The index shows the extent to which respondents of the survey Amsterdam-Amstelland Safety Monitor, aged 15 and older, became victim of: theft from motor vehicles, theft of vehicles, other property crimes, pickpocketing and vandalism. The value 100 represents the regional average (Safety Region Amsterdam-Amstelland) in the benchmark year 2021. Each district score shows how the district compares to the regional average in the benchmark year. The index is calculated at district level and is only suitable for a comparison between districts and for following the development of the district score. The higher the score, the more reported victimization of high volume crimes. The safety index has its own district classification (VM areas), whereby some districts from the standard district classification have been combined due to small population numbers. If this is the case, the same score is assigned to both districts, unless there are less than 50 respondents to the Safety Monitor in one or both districts."
Safety,Safety index: reported victimization of High Impact Crimes,"A crime that affects the victim personally, such as violence, is a High Impact crime. The index shows the extent to which respondents of the survey Amsterdam-Amstelland Safety Monitor, aged 15 and older, became victim of: sex crimes, threats, bullying, stalking, assault/public violence, street robbery, theft/home burglary and discrimination. The value 100 represents the regional average (Safety Region Amsterdam-Amstelland) in the benchmark year 2021. Each district score shows how the district compares to the regional average in the benchmark year. The index is calculated at district level and is only suitable for a comparison between districts and for following the development of the district score. The higher the score, the more reported victimization of high impact crimes. The safety index has its own district classification (VM areas), whereby some district from the standard district classification have been combined due to small population numbers. If this is the case, the same score is assigned to both districts, unless there are less than 50 respondents to the Safety Monitor in one or both districts."
Safety,Safety index: reported victimization of digital crimes,"A crime that takes place digital is described as digital victimization. The index shows the extent to which respondents of the survey Amsterdam-Amstelland Safety Monitor, aged 15 and older, became victim of: purchase fraud, sales fraud, payment fraud, identity fraud, phishing, hacking a device, hacking an account, cyberbullying, online stalking, online threats, shamesexting and other cyber crimes. The value 100 represents the regional average (Safety Region Amsterdam-Amstelland) in the benchmark year 2021. Each district score shows how the district compares to the regional average in the benchmark year. The index is calculated at district level and is only suitable for a comparison between districts and for following the development of the district score. The higher the score, the more reported victimization of online crime. The safety index has its own district classification (VM areas), whereby some districts from the standard district classification have been combined due to small population numbers. If this is the case, the same score is assigned to both districts, unless there are less than 50 respondents to the Safety Monitor in one or both districts."
Well-being and youth care,Overweight or obese (% 10 yrs.),Number of 10-year-olds that are overweight (BMI between 25 and 30) or obese (BMI of 30 or more)
Well-being and youth care,> 1x month smoking (% 4th grade),"Percentage of 4th graders that smoke at least once a month







Numbers relate to a school year. The stated reference year is the year in which the school year ends."
Safety,Safety index: perceived nuisance index,"The perceived nuisance index describes the presence of intended or unintended behavior directed against persons, objects or goods (in public space) that are not always punishable (for example loitering youth, litter, rowdy behavior, graffiti or vandalism), but that are perceived as a nuisance and thus affect public safety. A distinction is made between personal nuisance and decay. The index is based on nuisance reports to the police, nuisance reports to the municipality of Amsterdam and survey data from the Amsterdam-Amstelland Safety Monitor (completed by residents aged 15 and older). The value 100 represents the regional average (Safety Region Amsterdam-Amstelland) in the benchmark year 2021. Each district score shows how the district compares to the regional average in the benchmark year. The index is calculated at district level and is only suitable for a comparison between districts and for following the development of the district score. The higher the score, the more perceived nuisance. The safety index has its own district classification (VM areas), whereby some districts from the standard district classification have been combined due to small population numbers. If this is the case, the same score is assigned to both districts, unless there are less than 50 respondents to the Safety Monitor in one or both districts."
Housing,Sheltered accommodations,Number of sheltered accommodations.
Diversity,Interaction groups (1-10),"Average answer to the question:



How do the various groups of people in your neighbourhood interact with one another? 1 = very unpleasant and 10 = very pleasant.







Numbers are only available for areas with at least 20 respondents."
Well-being and care,Happy (%),Percentage of the population aged 18 and over that consider themselves a (very) hapy person.
Safety,Safety index: decay index,"The decay index describes the degree of nuisance experienced by material decay in the public space (such as litter, destroyed street furniture and stench) and thus the impact on public safety in a neighbourhood. The index is based on questions from the survey Amsterdam-Amstelland Safety Monitor, completed by residents aged 15 and older. The value 100 represents the regional average (Safety Region Amsterdam-Amstelland) in the benchmark year 2021. Each district score shows how the district compares to the regional average in the benchmark year. The index is calculated at district level and is only suitable for a comparison between districts and for following the development of the district score. The higher the score, the more decay. The safety index has its own district classification (VM areas), whereby some districts from the standard district classification have been combined due to population numbers. If this is the case, the same index score is assigned to both districts, unless there are fewer than 50 respondents to the Safety Monitor in one or both districts."
Safety,Safety index: nuisance by people index,"The nuisance by people index describes the extent to which nuisance by people is experienced. It describes intentional or unintentional behavior that is not always punishable (for example, loitering youth, nuisance to neighbors and noise nuisance) but that are perceived as a nuisance and thus affect public safety in a neighbourhood. The index is based on nuisance reports to the police, nuisance reports to the municipality of Amsterdam and survey data from the Amsterdam-Amstelland Safety Monitor (completed by residents aged 15 and older). The value 100 represents the regional average (Safety Region Amsterdam-Amstelland) in the benchmark year 2021. Each district score shows how the district compares to the regional average in the benchmark year. The index is calculated at district level and is only suitable for a comparison between districts and for following the development of the district score. The higher the score, the more personal nuisance. The safety index has its own district classification (VM areas), whereby some districts from the standard neighborhood classification have been combined due to small population numbers. If this is the case, the same score is assigned to both districts, unless there are less than 50 respondents to the Safety Monitor in one or both districts."
